,Unnamed: 0,filename,prompt,evaluation_seed
0,0,o_A-portrait-of-Elon-Musk-and-Amanda-Seyfried_0_0.jpg,A portrait of Elon Musk and Amanda Seyfried,0
1,1,o_A-portrait-of-Elon-Musk-and-Amanda-Seyfried_1_0.jpg,A portrait of Elon Musk and Amanda Seyfried,1
2,2,o_A-portrait-of-Elon-Musk-and-Amanda-Seyfried_2_0.jpg,A portrait of Elon Musk and Amanda Seyfried,2
3,3,o_A-portrait-of-Elon-Musk-and-Amy-Poehler_0_0.jpg,A portrait of Elon Musk and Amy Poehler,0
4,4,o_A-portrait-of-Elon-Musk-and-Amy-Poehler_1_0.jpg,A portrait of Elon Musk and Amy Poehler,1
5,5,o_A-portrait-of-Elon-Musk-and-Amy-Schumer_0_0.jpg,A portrait of Elon Musk and Amy Schumer,0
6,6,o_A-portrait-of-Elon-Musk-and-Amy-Schumer_1_0.jpg,A portrait of Elon Musk and Amy Schumer,1
7,7,o_A-portrait-of-Elon-Musk-and-Aretha-Franklin_2_0.jpg,A portrait of Elon Musk and Aretha Franklin,2
8,8,o_A-portrait-of-Elon-Musk-and-Brittany-Snow_0_0.jpg,A portrait of Elon Musk and Brittany Snow,0
9,9,o_A-portrait-of-Elon-Musk-and-Countess-Vaughn_1_0.jpg,A portrait of Elon Musk and Countess Vaughn,1
10,10,o_A-portrait-of-Elon-Musk-and-Dakota-Johnson_0_0.jpg,A portrait of Elon Musk and Dakota Johnson,0
11,11,o_A-portrait-of-Elon-Musk-and-Doris-Day_2_0.jpg,A portrait of Elon Musk and Doris Day,2
12,12,o_A-portrait-of-Elon-Musk-and-Elizabeth-Taylor_0_0.jpg,A portrait of Elon Musk and Elizabeth Taylor,0
13,13,o_A-portrait-of-Elon-Musk-and-Elizabeth-Taylor_1_0.jpg,A portrait of Elon Musk and Elizabeth Taylor,1
14,14,o_A-portrait-of-Elon-Musk-and-Emma-Roberts_0_0.jpg,A portrait of Elon Musk and Emma Roberts,0
15,15,o_A-portrait-of-Elon-Musk-and-Emma-Roberts_1_0.jpg,A portrait of Elon Musk and Emma Roberts,1
16,16,o_A-portrait-of-Elon-Musk-and-Gal-Gadot_2_0.jpg,A portrait of Elon Musk and Gal Gadot,2
17,17,o_A-portrait-of-Elon-Musk-and-Julianne-Moore_1_0.jpg,A portrait of Elon Musk and Julianne Moore,1
18,18,o_A-portrait-of-Elon-Musk-and-Julianne-Moore_2_0.jpg,A portrait of Elon Musk and Julianne Moore,2
19,19,o_A-portrait-of-Elon-Musk-and-Julianne-Moore_3_0.jpg,A portrait of Elon Musk and Julianne Moore,3
20,20,o_A-portrait-of-Elon-Musk-and-Kaley-Cuoco_0_0.jpg,A portrait of Elon Musk and Kaley Cuoco,0
21,21,o_A-portrait-of-Elon-Musk-and-Kaley-Cuoco_1_0.jpg,A portrait of Elon Musk and Kaley Cuoco,1
22,22,o_A-portrait-of-Elon-Musk-and-Kaley-Cuoco_3_0.jpg,A portrait of Elon Musk and Kaley Cuoco,3
23,23,o_A-portrait-of-Elon-Musk-and-Kate-Upton_0_0.jpg,A portrait of Elon Musk and Kate Upton,0
24,24,o_A-portrait-of-Elon-Musk-and-Kristen-Stewart_0_0.jpg,A portrait of Elon Musk and Kristen Stewart,0
25,25,o_A-portrait-of-Elon-Musk-and-Kristen-Stewart_1_0.jpg,A portrait of Elon Musk and Kristen Stewart,1
26,26,o_A-portrait-of-Elon-Musk-and-Kristen-Stewart_2_0.jpg,A portrait of Elon Musk and Kristen Stewart,2
27,27,o_A-portrait-of-Elon-Musk-and-Kristen-Stewart_3_0.jpg,A portrait of Elon Musk and Kristen Stewart,3
28,28,o_A-portrait-of-Elon-Musk-and-Krysten-Ritter_1_0.jpg,A portrait of Elon Musk and Krysten Ritter,1
29,29,o_A-portrait-of-Elon-Musk-and-Lily-Collins_0_0.jpg,A portrait of Elon Musk and Lily Collins,0
30,30,o_A-portrait-of-Elon-Musk-and-Maggie-Gyllenhaal_0_0.jpg,A portrait of Elon Musk and Maggie Gyllenhaal,0
31,31,o_A-portrait-of-Elon-Musk-and-Maggie-Gyllenhaal_1_0.jpg,A portrait of Elon Musk and Maggie Gyllenhaal,1
32,32,o_A-portrait-of-Elon-Musk-and-Maggie-Gyllenhaal_2_0.jpg,A portrait of Elon Musk and Maggie Gyllenhaal,2
33,33,o_A-portrait-of-Elon-Musk-and-Megan-Fox_1_0.jpg,A portrait of Elon Musk and Megan Fox,1
34,34,o_A-portrait-of-Elon-Musk-and-Megan-Fox_2_0.jpg,A portrait of Elon Musk and Megan Fox,2
35,35,o_A-portrait-of-Elon-Musk-and-Megan-Fox_3_0.jpg,A portrait of Elon Musk and Megan Fox,3
36,36,o_A-portrait-of-Elon-Musk-and-Natalie-Portman_0_0.jpg,A portrait of Elon Musk and Natalie Portman,0
37,37,o_A-portrait-of-Elon-Musk-and-Natalie-Portman_1_0.jpg,A portrait of Elon Musk and Natalie Portman,1
38,38,o_A-portrait-of-Elon-Musk-and-Queen-Elizabeth_1_0.jpg,A portrait of Elon Musk and Queen Elizabeth,1
39,39,o_A-portrait-of-Elon-Musk-and-Rachel-Dratch_1_0.jpg,A portrait of Elon Musk and Rachel Dratch,1
40,40,o_A-portrait-of-Elon-Musk-and-Rachel-Dratch_2_0.jpg,A portrait of Elon Musk and Rachel Dratch,2
41,41,o_A-portrait-of-Elon-Musk-and-Reba-Mcentire_0_0.jpg,A portrait of Elon Musk and Reba Mcentire,0
42,42,o_A-portrait-of-Elon-Musk-and-Reba-Mcentire_1_0.jpg,A portrait of Elon Musk and Reba Mcentire,1
43,43,o_An-image-capturing-Elon-Musk-and-Amanda-Seyfried-at-a-public-event_0_0.jpg,An image capturing Elon Musk and Amanda Seyfried at a public event,0
44,44,o_An-image-capturing-Elon-Musk-and-Amanda-Seyfried-at-a-public-event_2_0.jpg,An image capturing Elon Musk and Amanda Seyfried at a public event,2
45,45,o_An-image-capturing-Elon-Musk-and-Amanda-Seyfried-at-a-public-event_4_0.jpg,An image capturing Elon Musk and Amanda Seyfried at a public event,4
46,46,o_An-image-capturing-Elon-Musk-and-Amy-Poehler-at-a-public-event_0_0.jpg,An image capturing Elon Musk and Amy Poehler at a public event,0
47,47,o_An-image-capturing-Elon-Musk-and-Amy-Poehler-at-a-public-event_2_0.jpg,An image capturing Elon Musk and Amy Poehler at a public event,2
48,48,o_An-image-capturing-Elon-Musk-and-Amy-Schumer-at-a-public-event_0_0.jpg,An image capturing Elon Musk and Amy Schumer at a public event,0
49,49,o_An-image-capturing-Elon-Musk-and-Amy-Schumer-at-a-public-event_3_0.jpg,An image capturing Elon Musk and Amy Schumer at a public event,3
50,50,o_An-image-capturing-Elon-Musk-and-Amy-Schumer-at-a-public-event_4_0.jpg,An image capturing Elon Musk and Amy Schumer at a public event,4
51,51,o_An-image-capturing-Elon-Musk-and-Aretha-Franklin-at-a-public-event_0_0.jpg,An image capturing Elon Musk and Aretha Franklin at a public event,0
52,52,o_An-image-capturing-Elon-Musk-and-Avril-Lavigne-at-a-public-event_3_0.jpg,An image capturing Elon Musk and Avril Lavigne at a public event,3
53,53,o_An-image-capturing-Elon-Musk-and-Avril-Lavigne-at-a-public-event_4_0.jpg,An image capturing Elon Musk and Avril Lavigne at a public event,4
54,54,o_An-image-capturing-Elon-Musk-and-Bette-Midler-at-a-public-event_0_0.jpg,An image capturing Elon Musk and Bette Midler at a public event,0
55,55,o_An-image-capturing-Elon-Musk-and-Bette-Midler-at-a-public-event_3_0.jpg,An image capturing Elon Musk and Bette Midler at a public event,3
56,56,o_An-image-capturing-Elon-Musk-and-Bette-Midler-at-a-public-event_4_0.jpg,An image capturing Elon Musk and Bette Midler at a public event,4
57,57,o_An-image-capturing-Elon-Musk-and-Betty-White-at-a-public-event_0_0.jpg,An image capturing Elon Musk and Betty White at a public event,0
58,58,o_An-image-capturing-Elon-Musk-and-Elizabeth-Taylor-at-a-public-event_0_0.jpg,An image capturing Elon Musk and Elizabeth Taylor at a public event,0
59,59,o_An-image-capturing-Elon-Musk-and-Elizabeth-Taylor-at-a-public-event_3_0.jpg,An image capturing Elon Musk and Elizabeth Taylor at a public event,3
60,60,o_An-image-capturing-Elon-Musk-and-Emma-Roberts-at-a-public-event_4_0.jpg,An image capturing Elon Musk and Emma Roberts at a public event,4
61,61,o_An-image-capturing-Elon-Musk-and-Gillian-Anderson-at-a-public-event_0_0.jpg,An image capturing Elon Musk and Gillian Anderson at a public event,0
62,62,o_An-image-capturing-Elon-Musk-and-Jennifer-Connelly-at-a-public-event_2_0.jpg,An image capturing Elon Musk and Jennifer Connelly at a public event,2
63,63,o_An-image-capturing-Elon-Musk-and-Julianne-Moore-at-a-public-event_0_0.jpg,An image capturing Elon Musk and Julianne Moore at a public event,0
64,64,o_An-image-capturing-Elon-Musk-and-Julianne-Moore-at-a-public-event_2_0.jpg,An image capturing Elon Musk and Julianne Moore at a public event,2
65,65,o_An-image-capturing-Elon-Musk-and-Julianne-Moore-at-a-public-event_4_0.jpg,An image capturing Elon Musk and Julianne Moore at a public event,4
66,66,o_An-image-capturing-Elon-Musk-and-Kaley-Cuoco-at-a-public-event_0_0.jpg,An image capturing Elon Musk and Kaley Cuoco at a public event,0
67,67,o_An-image-capturing-Elon-Musk-and-Kaley-Cuoco-at-a-public-event_2_0.jpg,An image capturing Elon Musk and Kaley Cuoco at a public event,2
68,68,o_An-image-capturing-Elon-Musk-and-Kaley-Cuoco-at-a-public-event_4_0.jpg,An image capturing Elon Musk and Kaley Cuoco at a public event,4
69,69,o_An-image-capturing-Elon-Musk-and-Kristen-Stewart-at-a-public-event_2_0.jpg,An image capturing Elon Musk and Kristen Stewart at a public event,2
70,70,o_An-image-capturing-Elon-Musk-and-Krysten-Ritter-at-a-public-event_3_0.jpg,An image capturing Elon Musk and Krysten Ritter at a public event,3
71,71,o_An-image-capturing-Elon-Musk-and-Lana-Del-Rey-at-a-public-event_0_0.jpg,An image capturing Elon Musk and Lana Del Rey at a public event,0
72,72,o_An-image-capturing-Elon-Musk-and-Lily-Collins-at-a-public-event_3_0.jpg,An image capturing Elon Musk and Lily Collins at a public event,3
73,73,o_An-image-capturing-Elon-Musk-and-Liv-Tyler-at-a-public-event_2_0.jpg,An image capturing Elon Musk and Liv Tyler at a public event,2
74,74,o_An-image-capturing-Elon-Musk-and-Maggie-Gyllenhaal-at-a-public-event_4_0.jpg,An image capturing Elon Musk and Maggie Gyllenhaal at a public event,4
75,75,o_An-image-capturing-Elon-Musk-and-Megan-Fox-at-a-public-event_0_0.jpg,An image capturing Elon Musk and Megan Fox at a public event,0
76,76,o_An-image-capturing-Elon-Musk-and-Megan-Fox-at-a-public-event_3_0.jpg,An image capturing Elon Musk and Megan Fox at a public event,3
77,77,o_An-image-capturing-Elon-Musk-and-Natalie-Portman-at-a-public-event_4_0.jpg,An image capturing Elon Musk and Natalie Portman at a public event,4
78,78,o_An-image-capturing-Elon-Musk-and-Rachel-Dratch-at-a-public-event_0_0.jpg,An image capturing Elon Musk and Rachel Dratch at a public event,0
79,79,o_An-image-capturing-Elon-Musk-and-Rachel-Dratch-at-a-public-event_2_0.jpg,An image capturing Elon Musk and Rachel Dratch at a public event,2
80,80,o_An-image-capturing-Elon-Musk-and-Reba-Mcentire-at-a-public-event_0_0.jpg,An image capturing Elon Musk and Reba Mcentire at a public event,0
81,81,o_An-image-capturing-Elon-Musk-and-Reba-Mcentire-at-a-public-event_2_0.jpg,An image capturing Elon Musk and Reba Mcentire at a public event,2
82,82,o_An-image-capturing-Elon-Musk-and-Reba-Mcentire-at-a-public-event_3_0.jpg,An image capturing Elon Musk and Reba Mcentire at a public event,3
83,83,o_Elon-Musk-and-Amanda-Seyfried-in-an-official-photo_0_0.jpg,Elon Musk and Amanda Seyfried in an official photo,0
84,84,o_Elon-Musk-and-Amanda-Seyfried_0_0.jpg,Elon Musk and Amanda Seyfried,0
85,85,o_Elon-Musk-and-Amanda-Seyfried_3_0.jpg,Elon Musk and Amanda Seyfried,3
86,86,o_Elon-Musk-and-Amy-Poehler-in-an-official-photo_0_0.jpg,Elon Musk and Amy Poehler in an official photo,0
87,87,o_Elon-Musk-and-Amy-Poehler-in-an-official-photo_3_0.jpg,Elon Musk and Amy Poehler in an official photo,3
88,88,o_Elon-Musk-and-Amy-Poehler-in-an-official-photo_4_0.jpg,Elon Musk and Amy Poehler in an official photo,4
89,89,o_Elon-Musk-and-Amy-Poehler_0_0.jpg,Elon Musk and Amy Poehler,0
90,90,o_Elon-Musk-and-Amy-Poehler_3_0.jpg,Elon Musk and Amy Poehler,3
91,91,o_Elon-Musk-and-Amy-Schumer-in-an-official-photo_0_0.jpg,Elon Musk and Amy Schumer in an official photo,0
92,92,o_Elon-Musk-and-Amy-Schumer-in-an-official-photo_3_0.jpg,Elon Musk and Amy Schumer in an official photo,3
93,93,o_Elon-Musk-and-Amy-Schumer_0_0.jpg,Elon Musk and Amy Schumer,0
94,94,o_Elon-Musk-and-Amy-Schumer_1_0.jpg,Elon Musk and Amy Schumer,1
95,95,o_Elon-Musk-and-Amy-Schumer_3_0.jpg,Elon Musk and Amy Schumer,3
96,96,o_Elon-Musk-and-Aretha-Franklin-in-an-official-photo_2_0.jpg,Elon Musk and Aretha Franklin in an official photo,2
97,97,o_Elon-Musk-and-Aretha-Franklin_0_0.jpg,Elon Musk and Aretha Franklin,0
98,98,o_Elon-Musk-and-Aretha-Franklin_2_0.jpg,Elon Musk and Aretha Franklin,2
99,99,o_Elon-Musk-and-Aretha-Franklin_3_0.jpg,Elon Musk and Aretha Franklin,3
100,100,o_Elon-Musk-and-Bette-Midler-in-an-official-photo_0_0.jpg,Elon Musk and Bette Midler in an official photo,0
101,101,o_Elon-Musk-and-Bette-Midler-in-an-official-photo_3_0.jpg,Elon Musk and Bette Midler in an official photo,3
102,102,o_Elon-Musk-and-Bette-Midler-in-an-official-photo_4_0.jpg,Elon Musk and Bette Midler in an official photo,4
103,103,o_Elon-Musk-and-Bette-Midler_0_0.jpg,Elon Musk and Bette Midler,0
